时刻(小时)	经度	纬度	波高	周期	风速	风向
0	117.8733	38.94766	0.8	5	14	18.2
1	117.8733	38.94766	0.6	7	12	15.6
2	117.8733	38.94766	0.7	8	17	22.1
3	117.8733	38.94766	0.4	4	16	20.8
4	117.8733	38.94766	0.8	6	14	18.2
5	117.8733	38.94766	0.9	4	18	23.4
6	117.8733	38.94766	0.4	8	20	26
7	117.8733	38.94766	0.8	4	14	18.2
8	117.8733	38.94766	1.1	3	22	28.6
9	117.8733	38.94766	1.3	2	23	29.9
10	117.8733	38.94766	1.2	6	15	19.5
11	117.8733	38.94766	0.8	5	14	18.2
12	117.8733	38.94766	0.6	7	12	15.6
13	117.8733	38.94766	0.7	8	17	22.1
14	117.8733	38.94766	0.4	4	16	20.8
15	117.8733	38.94766	0.8	6	14	18.2
16	117.8733	38.94766	0.9	4	18	23.4
17	117.8733	38.94766	0.4	8	20	26
18	117.8733	38.94766	0.8	4	14	18.2
19	117.8733	38.94766	1.1	3	22	28.6
20	117.8733	38.94766	1.3	2	23	29.9
21	117.8733	38.94766	1.2	6	15	19.5
22	117.8733	38.94766	0.6	7	12	15.6
23	117.8733	38.94766	0.7	8	17	22.1
24	117.8733	38.94766	0.4	4	16	20.8
25	117.8733	38.94766	0.8	6	14	18.2
26	117.8733	38.94766	0.9	4	18	27
27	117.8733	38.94766	0.4	8	20	30
28	117.8733	38.94766	0.8	4	14	21
29	117.8733	38.94766	0.9	4	18	27
30	117.8733	38.94766	0.4	8	20	30
31	117.8733	38.94766	0.8	4	14	21
32	117.8733	38.94766	1.1	3	22	33
33	117.8733	38.94766	1.3	2	23	13.8
34	117.8733	38.94766	1.2	6	15	9
35	117.8733	38.94766	0.6	7	12	7.2
36	117.8733	38.94766	0.7	8	17	10.2
37	117.8733	38.94766	0.4	4	16	9.6
38	117.8733	38.94766	0.9	4	18	10.8
39	117.8733	38.94766	0.4	8	20	12
40	117.8733	38.94766	0.8	4	14	8.4
41	117.8733	38.94766	1.1	3	22	13.2
42	117.8733	38.94766	1.3	2	23	13.8
43	117.8733	38.94766	1.2	6	15	9
44	117.8733	38.94766	0.6	7	12	7.2
45	117.8733	38.94766	0.7	8	17	13.6
46	117.8733	38.94766	0.4	4	16	12.8
47	117.8733	38.94766	0.8	4	14	11.2
48	117.8733	38.94766	1.1	3	22	17.6
49	117.8733	38.94766	1.3	2	23	18.4
50	117.8733	38.94766	1.2	6	15	12
51	117.8733	38.94766	0.6	7	12	9.6
52	117.8733	38.94766	0.7	8	17	13.6
53	117.8733	38.94766	0.4	4	16	12.8
54	117.8733	38.94766	0.9	4	18	14.4
55	117.8733	38.94766	0.4	8	20	16
56	117.8733	38.94766	0.8	4	14	11.2
57	117.8733	38.94766	1.1	3	22	17.6
58	117.8733	38.94766	1.3	2	23	18.4
59	117.8733	38.94766	1.2	6	15	12
60	117.8733	38.94766	0.6	7	12	9.6
61	117.8733	38.94766	0.7	8	17	13.6
62	117.8733	38.94766	0.4	4	16	12.8
63	117.8733	38.94766	1.3	2	23	18.4
64	117.8733	38.94766	1.2	6	15	12
65	117.8733	38.94766	0.6	7	12	9.6
66	117.8733	38.94766	0.7	8	17	13.6
